Time (s),Channel 1 (V)
0,0.0266701
0.00025,0.0406989
0.0005,0.0514966
0.00075,0.053847
0.001,0.0622672
0.00125,0.100558
0.0015,0.0844342
0.00175,0.0848846
0.002,0.122766
0.00225,0.0497346
0.0025,0.120955
0.00275,0.0969605
0.003,0.0723458
0.00325,0.133922
0.0035,0.104654
0.00375,0.0917883
0.004,0.0978788
0.00425,0.0508913
0.0045,0.0279157
0.00475,0.0807047
0.005,0.10935
0.00525,0.0358357
0.0055,0.070929
0.00575,0.0518583
0.006,0.0218025
0.00625,0.0196523
0.0065,0.0109719
0.00675,0.0133888
0.007,0.0170107
0.00725,0.0557889
0.0075,0.020525
0.00775,0.0568354
0.008,0.0377444
0.00825,0.037391
0.0085,0.0442214
0.00875,0.0494836
0.009,0.0608212
0.00925,0.0321106
0.0095,0.0460042
0.00975,0.0398117
0.01,0.0662281
0.01025,0.0379953
0.0105,0.0627822
0.01075,0.0203971
0.011,0.022505
0.01125,0.0594972
0.0115,0.0672165
0.01175,0.077084
0.012,0.0267843
0.01225,-0.0352178
0.0125,0.044054
0.01275,-0.0349793
0.013,0.00787549
0.01325,-0.0218626
0.0135,-0.0357396
0.01375,-0.0506944
0.014,-0.0482819
0.01425,-0.0802105
0.0145,-0.0288903
0.01475,-0.01385
0.015,-0.038788
0.01525,-0.00840244
0.0155,-0.00833614
0.01575,0.0185282
0.016,0.0382928
0.01625,0.0380803
0.0165,0.0502714
0.01675,0.0639021
0.017,0.0809433
0.01725,0.0728436
0.0175,0.0886762
0.01775,0.121419
0.018,0.0629285
0.01825,0.168337
0.0185,0.163965
0.01875,0.107585
0.019,0.10597
0.01925,0.105652
0.0195,0.135296
0.01975,0.152779
0.02,0.109275
0.02025,0.109831
0.0205,0.0839809
0.02075,0.0840204
0.021,0.107986
0.02125,0.148651
0.0215,0.0921928
0.02175,0.0985043
0.022,0.0657037
0.02225,0.074162
0.0225,0.0695438
0.02275,0.088893
0.023,0.0430485
0.02325,0.0498288
0.0235,0.066853
0.02375,0.0624114
0.024,0.0735371
0.02425,0.0708445
0.0245,0.081975
0.02475,0.0856888
0.025,0.0819109
0.02525,0.0917118
0.0255,0.0763633
0.02575,0.0660017
0.026,0.0862623
0.02625,0.0518247
0.0265,0.0680026
0.02675,0.0794724
0.027,0.0691501
0.02725,0.113116
0.0275,0.0678939
0.02775,0.107161
0.028,0.0205826
0.02825,0.0970195
0.0285,0.0331588
0.02875,0.0496352
0.029,0.0137342
0.02925,0.0119476
0.0295,0.00351928
0.02975,0.0624258
0.03,0.0249386
0.03025,0.0108816
0.0305,-0.00945624
0.03075,0.0194546
0.031,0.0447518
0.03125,0.0518725
0.0315,-0.00744861
0.03175,0.0448988
0.032,0.0544682
0.03225,0.0880635
0.0325,0.0899433
0.03275,0.0823963
0.033,0.0924499
0.03325,0.105058
0.0335,0.118891
0.03375,0.14541
0.034,0.152325
0.03425,0.185488
0.0345,0.156302
0.03475,0.149651
0.035,0.173149
0.03525,0.173023
0.0355,0.155602
0.03575,0.222999
0.036,0.225465
0.03625,0.216761
0.0365,0.186712
0.03675,0.184566
0.037,0.157186
0.03725,0.139626
0.0375,0.178427
0.03775,0.128164
0.038,0.158667
0.03825,0.12349
0.0385,0.147621
0.03875,0.186411
0.039,0.13684
0.03925,0.128114
0.0395,0.196188
0.03975,0.115262
0.04,0.0951132
0.04025,0.141638
0.0405,0.109673
0.04075,0.12055
0.041,0.148377
0.04125,0.146284
0.0415,0.138661
0.04175,0.146181
0.042,0.149742
0.04225,0.171344
0.0425,0.175254
0.04275,0.131523
0.043,0.138826
0.04325,0.140867
0.0435,0.104175
0.04375,0.153622
0.044,0.119753
0.04425,0.151844
0.0445,0.136097
